年月,总单量,取消量,房型变更量,停车位需求量,特殊请求量,ADR中位数,取消率,房型变更率,停车位需求率,特殊请求率
2015-07,2776,1259,324,215,872,90.0,0.4535,0.1167,0.0774,0.3141
2015-08,3889,1598,574,247,1430,94.5,0.4109,0.1476,0.0635,0.3677
2015-09,5114,2094,962,214,1288,89.2,0.4095,0.1881,0.0418,0.2519
2015-10,4957,1732,933,249,1350,75.0,0.3494,0.1882,0.0502,0.2723
2015-11,2340,486,524,192,715,62.8,0.2077,0.2239,0.0821,0.3056
2015-12,2920,973,519,231,1028,70.0,0.3332,0.1777,0.0791,0.3521
2016-01,2248,557,558,209,801,68.99,0.2478,0.2482,0.093,0.3563
2016-02,3891,1337,747,267,1274,73.2,0.3436,0.192,0.0686,0.3274
2016-03,4824,1477,827,354,1703,75.95,0.3062,0.1714,0.0734,0.353
2016-04,5428,2061,701,318,1791,86.0,0.3797,0.1291,0.0586,0.33
2016-05,5478,1915,754,332,1848,95.0,0.3496,0.1376,0.0606,0.3373
2016-06,5292,2096,610,314,2064,109.0,0.3961,0.1153,0.0593,0.39
2016-07,4572,1499,480,375,2241,115.35,0.3279,0.105,0.082,0.4902
2016-08,5063,1825,357,449,2545,131.4,0.3605,0.0705,0.0887,0.5027
2016-09,5394,2022,599,331,2380,111.35,0.3749,0.111,0.0614,0.4412
2016-10,6203,2514,724,379,2456,95.0,0.4053,0.1167,0.0611,0.3959
2016-11,4454,1636,703,265,2053,79.2,0.3673,0.1578,0.0595,0.4609
2016-12,3860,1398,570,269,1924,79.2,0.3622,0.1477,0.0697,0.4984
2017-01,3681,1250,532,277,1588,74.8,0.3396,0.1445,0.0753,0.4314
2017-02,4177,1359,571,241,1818,75.0,0.3254,0.1367,0.0577,0.4352
2017-03,4970,1672,585,231,2011,80.0,0.3364,0.1177,0.0465,0.4046
2017-04,5661,2463,489,312,2417,105.0,0.4351,0.0864,0.0551,0.427
2017-05,6313,2762,459,278,2825,119.52,0.4375,0.0727,0.044,0.4475
2017-06,5647,2439,292,292,2593,120.0,0.4319,0.0517,0.0517,0.4592
2017-07,5313,1984,265,275,3023,132.5,0.3734,0.0499,0.0518,0.569
2017-08,4925,1816,258,300,3034,155.0,0.3687,0.0524,0.0609,0.616
