检查项,状态,数值/结果,说明
文件读取,通过,119390 行 × 32 列,编码 utf-8-sig
必需字段齐全性,通过,13/13,全部必需字段就位
is_canceled 取值合法性,通过,仅含 0/1,
取消记录存在性,通过,44224 条取消,占 37.04%
到店日期可构造性,通过,0 行无效,
重复行统计,警告,多余 31994 行；重复组 40165 行,默认 report_only，未经用户明确指示不得删除
company 缺失统计,警告,112593 行,缺失率 94.31%
agent 缺失统计,警告,16340 行,缺失率 13.69%
country 缺失统计,提示,488 行,缺失率 0.41%
children 缺失统计,提示,4 行,缺失率 0.00%
ADR 分布,提示,"min=-6.38, max=5400.00, 均值=101.83, 中位数=94.58","P95=193.50, P99=252.00, adr<=0 共 1960 条, adr>P99 共 1168 条"
reservation_status 与 is_canceled 一致性,提示,1207 行不一致,仅用于数据质量审计，该字段不作为预警输入
