维度,维度取值,样本量,ADR均值,ADR中位数,ADR_P95,ADR_P99,adr<=0数量,adr>P99数量,样本量标记
hotel,City Hotel,79330,105.3,99.9,175.5,228.0,1208,301,充足(>=100)
hotel,Resort Hotel,40060,94.95,75.0,221.0,281.0,752,867,充足(>=100)
market_segment,Aviation,237,100.14,95.0,126.0,150.0,6,0,充足(>=100)
market_segment,Complementary,743,2.89,0.0,9.0,69.16,680,0,充足(>=100)
market_segment,Corporate,5295,69.36,65.0,129.0,160.0,82,3,充足(>=100)
market_segment,Direct,12606,115.45,105.0,227.97,288.03,240,340,充足(>=100)
market_segment,Groups,19811,79.48,70.0,140.0,170.0,253,28,充足(>=100)
market_segment,Offline TA/TO,24219,87.35,85.5,137.03,190.0,332,25,充足(>=100)
market_segment,Online TA,56477,117.2,109.8,210.0,262.0,367,772,充足(>=100)
market_segment,Undefined,2,15.0,15.0,17.7,17.94,0,0,小样本(<30)
distribution_channel,Corporate,6677,69.33,65.0,125.0,167.0,192,3,充足(>=100)
distribution_channel,Direct,14645,106.65,96.0,223.5,289.0,807,365,充足(>=100)
distribution_channel,GDS,193,120.55,115.0,192.0,209.56,4,0,充足(>=100)
distribution_channel,TA/TO,97870,103.29,95.5,190.0,248.0,957,800,充足(>=100)
distribution_channel,Undefined,5,46.24,18.0,105.46,111.25,0,0,小样本(<30)
customer_type,Contract,4076,87.55,82.87,152.0,185.48,24,0,充足(>=100)
customer_type,Group,577,83.49,75.0,176.08,250.98,33,6,充足(>=100)
customer_type,Transient,89613,107.01,99.0,201.0,259.28,1450,1081,充足(>=100)
customer_type,Transient-Party,25124,86.08,81.0,144.0,219.92,453,81,充足(>=100)
