维度,维度取值,总单量,取消量,取消率,ADR中位数,ADR_P95,房型变更率,停车位需求率,特殊请求率,风险标记,样本量标记
hotel,City Hotel,79330,33102,0.4173,99.9,175.5,0.0907,0.0243,0.3955,风险信号,充足(>=100)
hotel,Resort Hotel,40060,11122,0.2776,75.0,221.0,0.1928,0.137,0.4418,正常,充足(>=100)
market_segment,Groups,19811,12097,0.6106,70.0,140.0,0.0956,0.014,0.0795,重点风险,充足(>=100)
market_segment,Undefined,2,2,1.0,15.0,17.7,0.0,0.0,1.0,仅展示,小样本(<30)
market_segment,Online TA,56477,20739,0.3672,109.8,210.0,0.0976,0.0673,0.633,正常,充足(>=100)
market_segment,Offline TA/TO,24219,8311,0.3432,85.5,137.03,0.1495,0.0228,0.2235,正常,充足(>=100)
market_segment,Aviation,237,52,0.2194,95.0,126.0,0.0844,0.0253,0.0759,正常,充足(>=100)
market_segment,Corporate,5295,992,0.1873,65.0,129.0,0.2814,0.112,0.183,正常,充足(>=100)
market_segment,Direct,12606,1934,0.1534,105.0,227.97,0.1696,0.1667,0.3902,正常,充足(>=100)
market_segment,Complementary,743,97,0.1306,0.0,9.0,0.3297,0.1131,0.5774,正常,充足(>=100)
distribution_channel,TA/TO,97870,40152,0.4103,95.5,190.0,0.1078,0.0458,0.4359,风险信号,充足(>=100)
distribution_channel,Undefined,5,4,0.8,18.0,105.46,0.0,0.2,1.0,仅展示,小样本(<30)
distribution_channel,Corporate,6677,1474,0.2208,65.0,125.0,0.2615,0.1021,0.1629,正常,充足(>=100)
distribution_channel,GDS,193,37,0.1917,115.0,192.0,0.0466,0.0,0.1762,正常,充足(>=100)
distribution_channel,Direct,14645,2557,0.1746,96.0,223.5,0.1782,0.1538,0.3606,正常,充足(>=100)
deposit_type,Non Refund,14587,14494,0.9936,86.0,140.0,0.006,0.0001,0.0016,重点风险【待人工审核】,充足(>=100)
deposit_type,No Deposit,104641,29694,0.2838,95.5,198.4,0.1414,0.0707,0.4686,正常,充足(>=100)
deposit_type,Refundable,162,36,0.2222,66.0,139.5,0.2222,0.1111,0.1111,正常,充足(>=100)
customer_type,Transient,89613,36514,0.4075,99.0,201.0,0.1147,0.0716,0.4495,风险信号,充足(>=100)
customer_type,Contract,4076,1262,0.3096,82.87,152.0,0.1028,0.0329,0.4833,正常,充足(>=100)
customer_type,Transient-Party,25124,6389,0.2543,81.0,144.0,0.1636,0.0323,0.261,正常,充足(>=100)
customer_type,Group,577,59,0.1023,75.0,176.08,0.1889,0.0884,0.4558,正常,充足(>=100)
arrival_date_month,2015-07,2776,1259,0.4535,90.0,176.25,0.1167,0.0774,0.3141,风险信号,充足(>=100)
arrival_date_month,2017-05,6313,2762,0.4375,119.52,190.0,0.0727,0.044,0.4475,风险信号,充足(>=100)
arrival_date_month,2017-04,5661,2463,0.4351,105.0,185.33,0.0864,0.0551,0.427,风险信号,充足(>=100)
arrival_date_month,2017-06,5647,2439,0.4319,120.0,198.0,0.0517,0.0517,0.4592,风险信号,充足(>=100)
arrival_date_month,2015-08,3889,1598,0.4109,94.5,207.51,0.1476,0.0635,0.3677,风险信号,充足(>=100)
arrival_date_month,2015-09,5114,2094,0.4095,89.2,170.0,0.1881,0.0418,0.2519,风险信号,充足(>=100)
arrival_date_month,2016-10,6203,2514,0.4053,95.0,158.4,0.1167,0.0611,0.3959,风险信号,充足(>=100)
arrival_date_month,2016-06,5292,2096,0.3961,109.0,161.0,0.1153,0.0593,0.39,正常,充足(>=100)
arrival_date_month,2016-04,5428,2061,0.3797,86.0,142.76,0.1291,0.0586,0.33,正常,充足(>=100)
arrival_date_month,2016-09,5394,2022,0.3749,111.35,184.15,0.111,0.0614,0.4412,正常,充足(>=100)
arrival_date_month,2017-07,5313,1984,0.3734,132.5,242.0,0.0499,0.0518,0.569,正常,充足(>=100)
arrival_date_month,2017-08,4925,1816,0.3687,155.0,270.0,0.0524,0.0609,0.616,正常,充足(>=100)
arrival_date_month,2016-11,4454,1636,0.3673,79.2,146.6,0.1578,0.0595,0.4609,正常,充足(>=100)
arrival_date_month,2016-12,3860,1398,0.3622,79.2,161.67,0.1477,0.0697,0.4984,正常,充足(>=100)
arrival_date_month,2016-08,5063,1825,0.3605,131.4,248.15,0.0705,0.0887,0.5027,正常,充足(>=100)
arrival_date_month,2016-05,5478,1915,0.3496,95.0,159.02,0.1376,0.0606,0.3373,正常,充足(>=100)
arrival_date_month,2015-10,4957,1732,0.3494,75.0,138.0,0.1882,0.0502,0.2723,正常,充足(>=100)
arrival_date_month,2016-02,3891,1337,0.3436,73.2,111.0,0.192,0.0686,0.3274,正常,充足(>=100)
arrival_date_month,2017-01,3681,1250,0.3396,74.8,126.0,0.1445,0.0753,0.4314,正常,充足(>=100)
arrival_date_month,2017-03,4970,1672,0.3364,80.0,136.83,0.1177,0.0465,0.4046,正常,充足(>=100)
arrival_date_month,2015-12,2920,973,0.3332,70.0,136.5,0.1777,0.0791,0.3521,正常,充足(>=100)
arrival_date_month,2016-07,4572,1499,0.3279,115.35,216.22,0.105,0.082,0.4902,正常,充足(>=100)
arrival_date_month,2017-02,4177,1359,0.3254,75.0,134.3,0.1367,0.0577,0.4352,正常,充足(>=100)
arrival_date_month,2016-03,4824,1477,0.3062,75.95,137.0,0.1714,0.0734,0.353,正常,充足(>=100)
arrival_date_month,2016-01,2248,557,0.2478,68.99,101.0,0.2482,0.093,0.3563,正常,充足(>=100)
arrival_date_month,2015-11,2340,486,0.2077,62.8,101.0,0.2239,0.0821,0.3056,正常,充足(>=100)
country,ARE,51,43,0.8431,135.0,233.96,0.0392,0.0196,0.3529,重点风险,中等(30-99)
country,SAU,48,33,0.6875,120.62,218.52,0.0417,0.0208,0.2083,重点风险,中等(30-99)
country,IDN,35,24,0.6857,85.5,238.33,0.0571,0.0286,0.2571,重点风险,中等(30-99)
country,PHL,40,25,0.625,158.3,210.75,0.05,0.05,0.6,重点风险,中等(30-99)
country,NGA,34,21,0.6176,101.0,201.9,0.1176,0.0,0.4706,重点风险,中等(30-99)
country,PRT,48590,27519,0.5664,85.0,184.78,0.1257,0.0636,0.2652,风险信号,充足(>=100)
country,AGO,362,205,0.5663,103.53,214.79,0.0912,0.0304,0.3785,风险信号,充足(>=100)
country,TUN,39,19,0.4872,105.3,154.78,0.0769,0.0256,0.4359,风险信号,中等(30-99)
country,CHN,999,462,0.4625,107.1,187.3,0.0771,0.019,0.4695,风险信号,充足(>=100)
country,MAR,259,109,0.4208,119.7,250.0,0.1042,0.0811,0.4981,风险信号,充足(>=100)
country,KOR,133,55,0.4135,109.8,160.94,0.0827,0.0376,0.5188,风险信号,充足(>=100)
country,TUR,248,102,0.4113,108.4,188.3,0.1008,0.0161,0.3952,风险信号,充足(>=100)
