变量,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,样本量,显著性,方向
lead_time,0.2931,0.0,0.3166,0.0,119390,***,正相关
adr,0.0476,9.682934179986901e-61,0.0509,2.9235881812104644e-69,119390,***,正相关
adults,0.06,1.07856544719638e-95,0.067,6.39066168411379e-119,119390,***,正相关
children,0.005,0.08183043560219935,-0.0028,0.3328145607959348,119390,ns,正相关
babies,-0.0325,2.923023512893292e-29,-0.0343,1.973878878756862e-32,119390,***,负相关
stays_in_weekend_nights,-0.0018,0.5360068239267203,-0.0041,0.1560268525575463,119390,ns,负相关
stays_in_week_nights,0.0248,1.1473295419097213e-17,0.0414,1.7136461203559531e-46,119390,***,正相关
previous_cancellations,0.1101,8.9327e-319,0.2702,0.0,119390,***,正相关
previous_bookings_not_canceled,-0.0574,1.4894651919932193e-87,-0.1154,0.0,119390,***,负相关
booking_changes,-0.1444,0.0,-0.1851,0.0,119390,***,负相关
days_in_waiting_list,0.0542,2.5035682686948595e-78,0.0982,9.319840184664367e-254,119390,***,正相关
required_car_parking_spaces,-0.1955,0.0,-0.1974,0.0,119390,***,负相关
total_of_special_requests,-0.2347,0.0,-0.2585,0.0,119390,***,负相关
total_guests,0.0465,3.349867857376367e-58,0.0514,1.3205836964239378e-70,119390,***,正相关
total_stays,0.0178,8.063786058030479e-10,0.0368,5.1120152031034846e-37,119390,***,正相关
