变量,系数,OR值,p值,显著性,解释
deposit_type_Non Refund,5.779,323.4456,0.0,***,OR=323.45，每增1单位取消概率升高
distribution_channel_Undefined,2.7578,15.7643,0.04218572135468276,*,OR=15.76，每增1单位取消概率升高
market_segment_Undefined,1.7734,5.891,0.5691641023197893,ns,OR=5.89，每增1单位取消概率升高
market_segment_Offline TA/TO,-0.7675,0.4642,7.85369360444537e-06,***,OR=0.46，每增1单位取消概率降低
customer_type_Transient,0.5458,1.726,1.232788957362343e-34,***,OR=1.73，每增1单位取消概率升高
customer_type_Group,-0.5038,0.6043,0.0009516770222561965,***,OR=0.60，每增1单位取消概率降低
distribution_channel_Direct,-0.3223,0.7245,0.0001263718813917321,***,OR=0.72，每增1单位取消概率降低
market_segment_Direct,-0.3169,0.7284,0.07784234785393572,ns,OR=0.73，每增1单位取消概率降低
market_segment_Corporate,-0.2902,0.7481,0.07682566608395135,ns,OR=0.75，每增1单位取消概率降低
hotel_Resort Hotel,-0.2698,0.7635,6.021135694064649e-63,***,OR=0.76，每增1单位取消概率降低
distribution_channel_TA/TO,0.2465,1.2796,0.0001633432965309729,***,OR=1.28，每增1单位取消概率升高
distribution_channel_GDS,-0.1958,0.8222,0.31872641857474415,ns,OR=0.82，每增1单位取消概率降低
market_segment_Online TA,0.1356,1.1452,0.4271935073128701,ns,OR=1.15，每增1单位取消概率升高
market_segment_Complementary,-0.1273,0.8804,0.5323533782487877,ns,OR=0.88，每增1单位取消概率降低
market_segment_Groups,0.1268,1.1352,0.459000537663802,ns,OR=1.14，每增1单位取消概率升高
total_guests,0.0913,1.0956,9.348583784184979e-17,***,OR=1.10，每增1单位取消概率升高
total_stays,0.044,1.0449,1.1039147672738503e-52,***,OR=1.04，每增1单位取消概率升高
deposit_type_Refundable,0.0343,1.0349,0.8643152989343731,ns,OR=1.03，每增1单位取消概率升高
customer_type_Transient-Party,0.031,1.0315,0.5176621081520726,ns,OR=1.03，每增1单位取消概率升高
lead_time,0.0039,1.0039,0.0,***,OR=1.00，每增1单位取消概率升高
adr,0.0021,1.0021,7.001820062561677e-36,***,OR=1.00，每增1单位取消概率升高
