hotel,market_segment,customer_type,deposit_type,lead_time,is_canceled,adr,异常类型
Resort Hotel,Direct,Transient,No Deposit,342,0,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,737,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,32,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,111,0,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,8,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,8,0,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,57,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,57,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,6,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,16,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,73,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,30,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,31,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Contract,No Deposit,8,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,52,0,280.74,adr>P99
Resort Hotel,Offline TA/TO,Contract,No Deposit,42,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,46,0,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,21,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,94,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,1,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,1,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,65,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,9,0,268.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,4,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,49,1,267.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,4,1,277.5,adr>P99
Resort Hotel,Direct,Transient,No Deposit,75,0,276.43,adr>P99
Resort Hotel,Direct,Transient,No Deposit,81,0,277.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,5,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,68,0,254.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,90,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,90,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,34,1,274.93,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,2,1,258.33,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,47,0,255.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,51,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,38,0,266.4,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,34,1,271.0,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,22,1,266.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,22,1,262.0,adr>P99
Resort Hotel,Direct,Transient-Party,No Deposit,31,0,299.33,adr>P99
Resort Hotel,Online TA,Transient,No Deposit,33,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,10,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,10,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,35,0,260.71,adr>P99
Resort Hotel,Direct,Transient,No Deposit,79,1,259.0,adr>P99
Resort Hotel,Direct,Transient,No Deposit,58,0,261.4,adr>P99
Resort Hotel,Offline TA/TO,Transient,No Deposit,21,0,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,304,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,297,1,0.0,adr<=0
Resort Hotel,Offline TA/TO,Group,No Deposit,333,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,5,0,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,336,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,30,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,3,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Group,No Deposit,340,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,175,1,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,1,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Group,No Deposit,347,1,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,349,1,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,6,1,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,6,1,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,352,1,0.0,adr<=0
Resort Hotel,Offline TA/TO,Group,No Deposit,354,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Group,No Deposit,361,1,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,338,1,0.0,adr<=0
Resort Hotel,Direct,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Corporate,Transient-Party,No Deposit,1,0,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,328,1,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,328,1,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,328,1,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,13,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Offline TA/TO,Transient,No Deposit,330,1,0.0,adr<=0
Resort Hotel,Corporate,Transient-Party,No Deposit,5,0,0.0,adr<=0
Resort Hotel,Online TA,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Corporate,Transient,No Deposit,0,0,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,334,1,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,334,1,0.0,adr<=0
Resort Hotel,Direct,Group,No Deposit,334,1,0.0,adr<=0
Resort Hotel,Groups,Transient-Party,No Deposit,7,0,0.0,adr<=0
Resort Hotel,Online TA,Transient-Party,No Deposit,153,0,0.0,adr<=0
Resort Hotel,Online TA,Transient-Party,No Deposit,153,0,0.0,adr<=0
Resort Hotel,Online TA,Transient-Party,No Deposit,153,0,0.0,adr<=0
Resort Hotel,Complementary,Transient,No Deposit,1,0,0.0,adr<=0
