hotel,月份,总单量,取消量,房型变更量,停车位需求量,特殊请求量,房型变更率(分子/分母),房型变更率,停车位需求率,特殊请求率
City Hotel,2015-07,1398,939,60,1,141,60/1398,0.0429,0.0007,0.1009
City Hotel,2015-08,2480,1232,343,49,574,343/2480,0.1383,0.0198,0.2315
City Hotel,2015-09,3529,1543,663,30,713,663/3529,0.1879,0.0085,0.202
City Hotel,2015-10,3386,1321,545,27,801,545/3386,0.161,0.008,0.2366
City Hotel,2015-11,1235,301,171,25,365,171/1235,0.1385,0.0202,0.2955
City Hotel,2015-12,1654,668,187,71,512,187/1654,0.1131,0.0429,0.3096
City Hotel,2016-01,1364,438,140,58,427,140/1364,0.1026,0.0425,0.313
City Hotel,2016-02,2371,930,260,76,756,260/2371,0.1097,0.0321,0.3189
City Hotel,2016-03,3046,1108,367,113,1145,367/3046,0.1205,0.0371,0.3759
City Hotel,2016-04,3561,1539,345,86,1259,345/3561,0.0969,0.0242,0.3536
City Hotel,2016-05,3676,1436,384,81,1234,384/3676,0.1045,0.022,0.3357
City Hotel,2016-06,3923,1720,403,88,1458,403/3923,0.1027,0.0224,0.3717
City Hotel,2016-07,3131,1043,349,148,1539,349/3131,0.1115,0.0473,0.4915
City Hotel,2016-08,3378,1247,223,234,1716,223/3378,0.066,0.0693,0.508
City Hotel,2016-09,3871,1567,366,98,1703,366/3871,0.0945,0.0253,0.4399
City Hotel,2016-10,4219,1947,372,85,1778,372/4219,0.0882,0.0201,0.4214
City Hotel,2016-11,3122,1360,329,70,1413,329/3122,0.1054,0.0224,0.4526
City Hotel,2016-12,2478,1072,241,59,1241,241/2478,0.0973,0.0238,0.5008
City Hotel,2017-01,2372,1044,110,79,983,110/2372,0.0464,0.0333,0.4144
City Hotel,2017-02,2594,971,228,55,1111,228/2594,0.0879,0.0212,0.4283
City Hotel,2017-03,3412,1278,250,64,1472,250/3412,0.0733,0.0188,0.4314
City Hotel,2017-04,3919,1926,205,72,1612,205/3919,0.0523,0.0184,0.4113
City Hotel,2017-05,4556,2217,211,47,1946,211/4556,0.0463,0.0103,0.4271
City Hotel,2017-06,3971,1808,142,60,1706,142/3971,0.0358,0.0151,0.4296
City Hotel,2017-07,3559,1324,154,59,1946,154/3559,0.0433,0.0166,0.5468
City Hotel,2017-08,3125,1123,144,91,1822,144/3125,0.0461,0.0291,0.583
Resort Hotel,2015-07,1378,320,264,214,731,264/1378,0.1916,0.1553,0.5305
Resort Hotel,2015-08,1409,366,231,198,856,231/1409,0.1639,0.1405,0.6075
Resort Hotel,2015-09,1585,551,299,184,575,299/1585,0.1886,0.1161,0.3628
Resort Hotel,2015-10,1571,411,388,222,549,388/1571,0.247,0.1413,0.3495
Resort Hotel,2015-11,1105,185,353,167,350,353/1105,0.3195,0.1511,0.3167
Resort Hotel,2015-12,1266,305,332,160,516,332/1266,0.2622,0.1264,0.4076
Resort Hotel,2016-01,884,119,418,151,374,418/884,0.4729,0.1708,0.4231
Resort Hotel,2016-02,1520,407,487,191,518,487/1520,0.3204,0.1257,0.3408
Resort Hotel,2016-03,1778,369,460,241,558,460/1778,0.2587,0.1355,0.3138
Resort Hotel,2016-04,1867,522,356,232,532,356/1867,0.1907,0.1243,0.2849
Resort Hotel,2016-05,1802,479,370,251,614,370/1802,0.2053,0.1393,0.3407
Resort Hotel,2016-06,1369,376,207,226,606,207/1369,0.1512,0.1651,0.4427
Resort Hotel,2016-07,1441,456,131,227,702,131/1441,0.0909,0.1575,0.4872
Resort Hotel,2016-08,1685,578,134,215,829,134/1685,0.0795,0.1276,0.492
Resort Hotel,2016-09,1523,455,233,233,677,233/1523,0.153,0.153,0.4445
Resort Hotel,2016-10,1984,567,352,294,678,352/1984,0.1774,0.1482,0.3417
Resort Hotel,2016-11,1332,276,374,195,640,374/1332,0.2808,0.1464,0.4805
Resort Hotel,2016-12,1382,326,329,210,683,329/1382,0.2381,0.152,0.4942
Resort Hotel,2017-01,1309,206,422,198,605,422/1309,0.3224,0.1513,0.4622
Resort Hotel,2017-02,1583,388,343,186,707,343/1583,0.2167,0.1175,0.4466
Resort Hotel,2017-03,1558,394,335,167,539,335/1558,0.215,0.1072,0.346
Resort Hotel,2017-04,1742,537,284,240,805,284/1742,0.163,0.1378,0.4621
Resort Hotel,2017-05,1757,545,248,231,879,248/1757,0.1411,0.1315,0.5003
Resort Hotel,2017-06,1676,631,150,232,887,150/1676,0.0895,0.1384,0.5292
Resort Hotel,2017-07,1754,660,111,216,1077,111/1754,0.0633,0.1231,0.614
Resort Hotel,2017-08,1800,693,114,209,1212,114/1800,0.0633,0.1161,0.6733
